#,Song Title,Artist 1,Artist 2,Mood,Genre,People Liked,Popularity
1,Rowdy Baby,Dhanush,Dhee,Energetic,Folk,1200000,85
2,Vaathi Coming,Anirudh Ravichander,G.V. Prakash Kumar,Energetic,Folk,1150000,83
3,Enjoy Enjaami,Dhee,Arivu,Chill,Indie,1050000,80
4,Why This Kolaveri Di,Dhanush,,Fun,Pop,2100000,90
5,Aalaporan Thamizhan,Karthik,,Patriotic,Folk,950000,78
6,Vaseegara,Bombay Jayashri,,Romantic,Classical,1200000,82
7,Marana Mass,Anirudh Ravichander,S. P. Balasubrahmanyam,Mass,Mass,850000,75
8,Kannamma,Anirudh Ravichander,,Romantic,Pop,1250000,84
9,Dippam Dappam,Anirudh Ravichander,Shashaa Tirupati,Energetic,Dance,780000,77
10,Anbe Anbe,Hariharan,Swarnalatha,Romantic,Classical,940000,79
11,Otha Sollaala,Velmurugan,,Fun,Folk,890000,81
12,Mukkala Mukkabala,Prabhudeva,,Energetic,Pop,1100000,88
13,Maya Nadhi,Ananthu,,Melancholic,Folk,960000,79
14,Kannaana Kanne,Sid Sriram,,Romantic,Classical,1300000,86
15,Kaatru Veliyidai,Arijit Singh,Jonita Gandhi,Romantic,Classical,950000,85
16,Kalyana Vayasu,Anirudh Ravichander,,Fun,Folk,1200000,87
17,Danga Maari,Dhanush,Anirudh Ravichander,Mass,Mass,800000,77
18,Aathi,Vishal Dadlani,,Energetic,Pop,850000,74
19,Selfie Pulla,Vijay,,Fun,Pop,1500000,88
20,Aathi Enna Nee,Sathya Prakash,,Romantic,Classical,920000,80
21,Thani Oruvan,Hiphop Tamizha,,Energetic,Pop,1100000,89
22,Oru Naal Koothu,Benny Dayal,,Fun,Pop,980000,79
23,Vennilave,Hariharan,,Romantic,Classical,1300000,87
24,Mental Manadhil,A. R. Rahman,,Fun,Pop,940000,78
25,Kutti Story,Anirudh Ravichander,,Fun,Pop,2100000,90
26,Pudhu Vellai Mazhai,A. R. Rahman,,Romantic,Classical,1150000,82
27,Unnai Kaanadhu Naan,Shankar Mahadevan,,Melancholic,Classical,1020000,80
28,Adiye,Sid Sriram,,Romantic,Classical,1150000,85
29,Uyire,Hariharan,,Romantic,Classical,1200000,88
30,Kadhalan,S. P. Balasubrahmanyam,,Fun,Folk,1450000,91
31,Appadi Podu,Pushpavanam Kuppusamy,,Melancholic,Classical,1130000,83
32,Usure Pogudhey,Karthik,,Romantic,Classical,990000,79
33,Nenjukkul Peidhidum,Hariharan,,Romantic,Folk,1040000,85
34,Saarattu Vandiyila,Kalyani Nair,,Romantic,Classical,870000,75
35,Kannamma,Yazin Nizar,,Romantic,Classical,920000,81
36,Maduraikku Pogathadi,Karthik,,Romantic,Classical,860000,79
37,Dhevathaiyai Kanden,Chinmayi,,Romantic,Classical,810000,78
38,Kannanule,Shankar Mahadevan,,Romantic,Pop,1250000,84
39,Anbil Avan,Shankar Mahadevan,,Romantic,Classical,920000,80
40,Enna Solla,Hariharan,,Romantic,Classical,1080000,85
41,Pachchai Nirame,Bombay Jayashri,,Romantic,Classical,890000,81
42,Aarariraro,Anirudh Ravichander,,Romantic,Pop,1350000,89
43,Kaathalae Kaathalae,Ilaiyaraaja,,Romantic,Classical,980000,78
44,Poo Avizhum Pozhudhil,Harini,,Romantic,Classical,1400000,90
45,Anjali Anjali,Shreya Ghoshal,,Romantic,Classical,900000,77
46,Munbe Vaa,Anirudh Ravichander,,Romantic,Classical,940000,79
47,Rasaali,S.P.Balasubrahmanyam,,Romantic,Classical,960000,80
48,Oday Oday,Sid Sriram,,Romantic,Classical,1300000,88
49,Neeyum Naanum,Sid Sriram,,Romantic,Classical,1500000,90
50,Unna Nenachu,Sid Sriram,,Romantic,Classical,1500000,90
